;1_1;1_2;1_3;1_4;1_5;1_6;1_7;1_8;1_9;1_10;1_11;1_12;1_13;1_14;1_16;1_17;1_18;1_21;1_22;2_1;2_2;2_3;2_4;2_5;2_6;2_7;2_8;2_9;2_10;2_11;2_12;2_13;2_14;2_16;2_17;2_18;2_21;2_22;3_1;3_2;3_3;3_4;3_5;3_6;3_7;3_8;3_9;3_10;3_11;3_12;3_13;3_14;3_16;3_17;3_18;3_21;3_22;4_1;4_2;4_3;4_4;4_5;4_6;4_7;4_8;4_9;4_10;4_11;4_12;4_13;4_14;4_16;4_17;4_18;4_21;4_22;5_1;5_2;5_3;5_4;5_5;5_6;5_7;5_8;5_9;5_10;5_11;5_12;5_13;5_14;5_16;5_17;5_18;5_21;5_22;6_1;6_2;6_3;6_4;6_5;6_6;6_7;6_8;6_9;6_10;6_11;6_12;6_13;6_14;6_16;6_17;6_18;6_21;6_22;7_1;7_2;7_3;7_4;7_5;7_6;7_7;7_8;7_9;7_10;7_11;7_12;7_13;7_14;7_16;7_17;7_18;7_21;7_22;8_1;8_2;8_3;8_4;8_5;8_6;8_7;8_8;8_9;8_10;8_11;8_12;8_13;8_14;8_16;8_17;8_18;8_21;8_22;9_1;9_2;9_3;9_4;9_5;9_6;9_7;9_8;9_9;9_10;9_11;9_12;9_13;9_14;9_16;9_17;9_18;9_21;9_22;10_1;10_2;10_3;10_4;10_5;10_6;10_7;10_8;10_9;10_10;10_11;10_12;10_13;10_14;10_16;10_17;10_18;10_21;10_22;11_1;11_2;11_3;11_4;11_5;11_6;11_7;11_8;11_9;11_10;11_11;11_12;11_13;11_14;11_16;11_17;11_18;11_21;11_22;12_1;12_2;12_3;12_4;12_5;12_6;12_7;12_8;12_9;12_10;12_11;12_12;12_13;12_14;12_16;12_17;12_18;12_21;12_22;13_1;13_2;13_3;13_4;13_5;13_6;13_7;13_8;13_9;13_10;13_11;13_12;13_13;13_14;13_16;13_17;13_18;13_21;13_22;14_1;14_2;14_3;14_4;14_5;14_6;14_7;14_8;14_9;14_10;14_11;14_12;14_13;14_14;14_17;14_18;14_22;16_1;16_2;16_3;16_4;16_5;16_6;16_7;16_8;16_9;16_10;16_11;16_12;16_13;16_14;16_16;16_17;16_18;16_22;17_1;17_2;17_3;17_4;17_5;17_6;17_7;17_8;17_9;17_10;17_11;17_12;17_13;17_14;17_16;17_17;17_18;17_21;17_22;18_1;18_2;18_3;18_4;18_5;18_6;18_7;18_8;18_9;18_10;18_11;18_12;18_13;18_14;18_16;18_17;18_18;18_21;18_22;21_1;21_2;21_3;21_4;21_5;21_6;21_7;21_8;21_9;21_10;21_11;21_12;21_13;21_17;21_18;21_22;22_1;22_2;22_3;22_4;22_5;22_6;22_7;22_8;22_9;22_10;22_11;22_12;22_13;22_14;22_16;22_17;22_18;22_21;22_22
76;768180;381571;25468;599244;462191;35768;16196;234716;29550;288243;346616;405126;30776;621;0;0;7134;0;7109;387229;191890;12898;301922;232826;18138;8125;118145;14882;145168;174693;203980;15547;314;0;0;3619;0;3599;26612;13142;861;20737;16038;1207;572;8110;986;9941;11996;14014;1021;18;0;0;243;0;234;659356;327378;21893;514605;397082;30613;13904;200940;25579;248773;296418;348586;26712;549;0;0;6104;0;6236;503769;250154;16680;393603;303031;23491;10599;153420;19596;189703;227125;265996;20322;423;0;0;4650;0;4799;44832;22162;1523;35362;27144;2080;943;13644;1727;17236;20230;23912;1813;34;0;0;423;0;437;12324;6135;394;9441;7318;552;253;3801;473;4552;5506;6415;496;10;0;0;116;0;109;212924;105675;7052;165475;127799;9821;4502;64980;8144;79248;96018;111689;8441;160;0;0;1999;0;1913;41130;20458;1408;32276;24807;1978;838;12433;1596;15588;18635;21734;1670;43;0;0;392;0;414;301997;149952;10051;234367;181101;13704;6396;92588;11544;113050;135286;159481;12243;196;0;0;2802;0;2644;386224;191727;12826;303447;233264;18185;8087;117333;15052;146030;174345;204215;15541;341;0;0;3606;0;3771;413274;205220;13706;321314;248144;18988;8765;126571;15886;154679;185845;217470;16686;297;0;0;3829;0;3702;33704;16693;1163;26068;20186;1567;700;10331;1294;12509;15191;17634;1326;27;0;0;315;0;305;4339;2166;150;3511;2693;226;82;1284;185;1708;2023;2343;181;6;0;42;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6506;3201;219;5061;3919;292;137;1972;235;2434;2895;3431;257;2;0;0;55;0;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15211;7561;522;12034;9223;733;305;4585;612;5924;6867;8178;631;17;0;0;146;0;153
77;5663295;1799760;255442;3411522;2744331;339925;79144;1420824;248319;1651374;2306708;2906014;275800;21536;38157;7198;69853;0;140420;1896108;602253;85787;1141962;918136;113597;26863;476088;82858;553105;773004;972632;92698;7184;12887;2444;23379;0;47356;249458;78913;11175;149129;120956;14923;3351;61734;11051;72141;101047;127194;11870;971;1525;268;3049;0;5929;3596490;1144074;163171;2166321;1741195;215443;50668;903292;155986;1049789;1465477;1847764;175399;13479;25832;4765;43936;0;90932;2745615;872702;123694;1654547;1329265;164793;38229;689561;119455;801255;1117389;1411162;133486;10379;19573;3596;33578;0;68949;340007;108199;15377;205121;164669;20301;4821;85515;14979;99215;138576;174612;16628;1284;2198;423;4228;0;8430;132914;42311;6099;80498;64524;7905;1953;33629;5650;39273;54662;68701;6606;500;1038;210;1656;0;3467;1534524;487956;69966;924704;742457;91841;21685;385003;66278;448416;625903;788619;75329;5736;11112;2125;18859;0;38896;249849;79646;11149;152150;121933;14917;3674;63666;10878;74052;102663;129276;12423;945;1803;342;3164;0;6305;1785312;567953;81009;1075933;863996;107027;25050;448022;77056;520710;727269;917846;87097;6674;13204;2428;21719;0;45399;2557162;813606;115703;1543013;1239406;153314;36373;642807;111197;748076;1043290;1314500;125102;9667;18185;3415;31518;0;64327;3004682;955456;136206;1808228;1452874;180100;41927;753149;130612;875030;1222920;1540890;146587;11260;21032;3919;36750;0;75541;330080;104942;15130;199361;160094;19732;4734;82711;14217;96683;134998;169493;16110;1241;2454;467;4023;0;8456;18856;5992;829;11505;9193;1140;256;4800;831;5578;7673;9812;919;66;27;229;481;62823;20053;2975;36628;29357;3862;852;15228;2637;17426;25165;31648;2946;213;435;54;684;1728;9632;3046;482;5645;4559;587;105;2265;398;2677;3810;4861;433;33;96;10;95;0;260;81617;26031;3701;49754;39817;4862;1179;20651;3496;24226;33507;42270;4077;311;666;130;990;0;2091;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;189448;60248;8771;113104;90889;11366;2707;47148;8199;54659;77283;96547;9184;695;1212;230;2319;0;4753
78;536130;204077;15807;366591;267152;26430;12537;151192;3359;191020;226330;236318;18007;0;3854;12334;8881;1210;9750;215503;81810;6351;146987;107081;10850;4947;60548;1341;76473;91321;94957;7180;0;1442;4879;3496;484;3755;26669;10254;820;17457;12720;1483;585;7319;189;9116;11390;11490;839;0;164;525;403;55;468;324421;123148;9890;222111;162975;15271;7790;92291;2161;116859;136096;143584;11198;0;2535;7513;5489;728;6329;232200;88129;7042;158519;115921;10904;5494;65871;1547;83310;97494;102447;7980;0;1805;5434;3947;532;4500;41946;15880;1223;28751;20908;2145;962;11766;243;14931;17893;18606;1355;0;256;948;668;92;722;8183;3153;235;5550;4146;358;190;2320;57;2933;3439;3583;287;0;72;177;134;17;159;132672;50422;3915;90467;66197;6318;3160;37401;856;47385;55786;58556;4540;0;1008;3105;2245;296;2479;4929;1899;139;3175;2309;285;103;1336;28;1665;2123;2102;153;0;28;96;71;10;80;168472;64062;5111;114590;83944;7971;4007;47693;1111;60031;70537;74357;5747;0;1305;3941;2912;386;3214;242978;92144;7183;166055;120852;12005;5621;68336;1501;86654;102378;107043;8061;0;1696;5620;4062;554;4398;221594;84053;6632;151230;110597;10566;5257;62552;1434;79017;93183;97461;7505;0;1673;4997;3722;504;4184;12037;4565;350;8145;5998;559;293;3406;79;4316;5076;5313;406;0;92;278;206;26;232;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;290;178;0;133;123;8;8;88;4;83;116;95;24;0;6;8;4;0;7350;2816;254;5160;3724;306;203;2101;56;2652;2987;3401;273;0;68;171;148;18;150;4587;1769;130;3182;2319;190;126;1317;33;1599;1827;2024;171;0;48;99;78;9;90;862;326;27;606;432;40;23;252;6;308;352;380;32;20;17;19;5790;2320;147;3676;2730;268;141;1631;40;1991;2397;2446;203;0;60;135;105;11;105
86;32385;10828;2851;30146;24198;2084;620;10918;2666;19556;15804;21851;1922;55;0;0;1113;0;2908;11612;3828;982;10642;8570;765;220;3826;960;6906;5608;7710;690;17;0;0;364;0;1037;4289;1482;378;3830;3100;319;93;1398;364;2537;2003;2903;274;9;0;0;170;0;350;27994;9422;2554;25878;20858;1771;501;9434;2280;16944;13719;18954;1626;56;0;0;995;0;2564;21192;7094;1884;19726;15753;1307;373;7144;1700;12856;10447;14211;1210;31;0;0;724;0;1974;3016;995;241;2789;2253;190;58;1021;247;1780;1455;1997;176;6;0;0;93;0;255;1165;396;103;1095;873;82;21;400;100;705;558;810;72;4;0;0;47;0;88;9227;3126;814;8578;6918;559;153;3081;745;5616;4554;6240;542;12;0;0;323;0;861;2689;888;224;2508;2038;173;47;914;210;1623;1324;1794;161;3;0;0;89;0;238;16909;5678;1467;15660;12598;1080;296;5681;1380;10153;8308;11321;996;23;0;0;559;0;1575;13776;4600;1245;12729;10201;865;254;4610;1112;8280;6670;9248;790;23;0;0;471;0;1287;22009;7426;1913;20262;16405;1443;394;7348;1818;13275;10704;14706;1341;33;0;0;754;0;1971;2158;718;174;2022;1638;144;40;722;175;1292;1066;1411;120;2;0;0;63;0;188;200;71;19;172;147;14;3;67;18;120;93;139;14;0;0;9;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1692;604;138;1513;1234;127;30;546;142;1014;805;1138;113;2;0;0;55;0;139;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;917;283;70;856;696;45;17;324;77;570;453;609;52;0;0;0;26;0;105
96;53956;16571;2961;27501;26647;2256;739;10908;1794;19323;17679;28389;978;722;1702;0;1002;26;3400;15342;4656;795;7668;7518;626;203;3195;529;5424;4963;8108;286;209;500;0;310;9;958;2632;854;136;1293;1281;98;24;562;107;911;860;1439;51;37;103;0;49;1;145;31390;9695;1750;15931;15470;1310;409;6382;1054;11044;10247;16540;556;407;1032;0;596;11;1953;27638;8487;1524;14065;13530;1139;362;5589;942;9784;9030;14535;490;365;894;0;516;8;1740;3337;1023;191;1733;1666;136;50;683;101;1201;1096;1759;62;41;101;0;66;0;215;1235;379;78;665;628;52;15;249;39;452;416;646;24;14;42;0;19;0;80;10148;3013;526;5074;4971;405;135;2016;357;3602;3281;5253;171;146;317;0;170;0;636;509;150;12;199;213;18;3;91;21;153;151;261;4;12;12;0;12;0;24;20486;6313;1146;10615;10181;856;274;4142;694;7260;6754;10796;388;263;676;0;373;2;1247;17524;5416;959;8906;8625;723;226;3567;598;6193;5671;9257;324;237;568;0;330;13;1100;27541;8382;1451;13890;13515;1131;374;5627;929;9774;8933;14365;489;377;868;0;534;4;1731;1325;393;68;697;665;57;18;277;45;459;425;701;21;17;45;0;29;0;84;265;82;14;130;130;10;4;46;9;100;84;133;4;3;0;2;17;601;179;16;221;261;18;0;131;37;171;181;322;4;14;21;0;14;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1301;369;70;657;639;53;23;278;37;474;419;656;20;19;35;0;21;0;91;632;185;33;347;322;34;12;128;14;240;201;336;14;0;14;52;6141;1855;348;3238;3045;278;94;1220;179;2262;2003;3199;119;70;178;0;112;6;406
97;64980;24963;3647;48459;36749;2466;2509;20692;1412;20536;27253;34743;1815;0;0;0;1518;0;1325;18718;7260;1036;14462;10594;691;742;5762;380;5920;7908;10088;514;0;0;0;505;0;317;5017;1868;276;3673;2795;187;184;1626;102;1536;2083;2636;143;0;0;0;101;0;115;42152;15909;2351;31375;23741;1621;1610;13332;886;13255;17617;22456;1138;0;0;0;993;0;854;36173;13848;2053;26961;20301;1414;1378;11535;776;11404;15178;19289;1008;0;0;0;834;0;748;6559;2334;413;4654;3636;300;241;2152;133;2011;2728;3499;204;0;0;0;117;0;163;1823;710;104;1402;1046;59;66;570;37;590;770;965;45;0;0;0;49;0;39;24072;9242;1350;17792;13513;948;918;7626;536;7595;10062;12797;675;0;0;0;537;0;505;1115;467;66;871;638;42;47;332;21;358;475;607;31;0;0;0;32;0;14;18091;7027;1032;13602;10210;664;694;5673;391;5671;7615;9676;512;0;0;0;440;0;336;26536;10121;1493;19782;14920;997;1018;8414;568;8328;11026;14141;737;0;0;0;617;0;539;33847;12902;1924;25234;19091;1251;1315;10763;723;10654;14169;17955;939;0;0;0;784;0;696;2156;817;121;1623;1214;71;87;689;46;665;902;1151;55;0;0;0;50;0;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;287;100;19;262;176;8;11;83;3;95;128;166;5;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1924;772;101;1405;1070;62;69;611;49;627;802;1014;56;0;0;0;45;0;36
99;1308153;457497;38715;1131240;880699;78536;17480;412027;41328;328505;698303;603244;79265;22740;18869;0;23576;0;39673;440493;153735;13214;381147;294895;26570;5747;138524;13935;110986;234641;203023;26892;7809;6525;0;8101;0;13408;38949;13426;1128;33428;25936;2322;500;12146;1195;9800;20603;17862;2355;643;545;0;702;0;1157;1036880;362553;30892;897130;695266;62565;13415;326921;32840;261936;552246;477914;63385;18427;15520;0;19273;0;31442;819819;288410;24512;713074;551775;49296;10774;259154;26094;206839;438852;379060;50139;14784;12243;0;15307;0;24702;80028;27820;2382;68755;53702;4753;1083;25165;2539;20045;42562;36827;4836;1347;1124;0;1400;0;2456;18116;6463;556;16065;12348;1073;231;5755;603;4552;9829;8510;1132;347;271;0;341;0;559;408299;142861;12190;352459;273703;24521;5399;128271;12859;102536;217609;187981;24785;7100;5914;0;7411;0;12420;31482;11040;965;27460;21201;1871;387;9956;990;7975;16766;14566;1950;575;477;0;597;0;961;304133;106019;8968;262004;204102;18273;4050;95701;9620;76245;161751;139822;18419;5247;4393;0;5509;0;9130;649491;227674;19381;563974;436631;39072;8497;204722;20719;163952;346528;300091;39823;11620;9708;0;12071;0;19743;584368;204347;17370;505646;392374;35105;7638;184157;18464;147172;311331;269011;35534;10282;8581;0;10754;0;17690;72827;25278;2157;62575;48655;4376;936;22873;2280;18335;38479;33462;4371;1236;1051;0;1315;0;2242;9620;3291;317;8373;6236;613;93;3040;325;2573;5040;4398;644;190;0;220;274;8637;2910;271;7260;5624;542;103;2705;288;2254;4453;3897;547;152;136;0;174;242;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12020;4109;354;10207;7815;756;143;3743;393;3093;6255;5394;753;220;200;0;231;0;338;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50935;17672;1531;43598;34154;3032;673;15972;1559;12766;26905;23414;3022;846;710;0;894;0;1540
121;1116765;413717;65838;670749;649122;52623;19847;331668;43257;354368;526936;452334;51022;11277;18345;912115;6702;600;51949;377138;139656;22172;225706;218384;17555;6560;112249;14641;120793;177418;152637;17400;3881;5786;314214;2291;200;17971;59742;22264;3486;35616;34602;2739;1020;17791;2348;19251;28053;24169;2763;639;904;50644;371;30;2874;703156;260445;41580;421821;408966;33260;12631;208743;26903;222405;331495;284750;32189;6894;11824;567680;4191;386;32245;642558;238672;37974;385050;372816;30161;11413;190654;24625;204095;302691;259613;29557;6482;10757;526697;3900;334;29678;58007;21591;3477;34746;33775;2701;1010;17110;2269;18249;27345;23496;2733;566;998;48165;346;28;2703;25003;9310;1500;14939;14507;1210;435;7319;945;7805;11775;10039;1182;234;470;19894;150;14;1146;332112;122627;19505;199293;192962;15746;6001;98346;12733;104989;156727;134643;14992;3326;5394;265992;1992;187;15241;35978;13396;2104;21804;21167;1653;645;10799;1378;11552;17021;14675;1647;391;602;30050;228;16;1638;328847;120960;19137;197578;190753;15569;5905;97919;12669;104196;155470;133308;14580;3377;5134;263113;2033;189;15369;536009;198701;31671;321914;311613;25269;9555;158957;20662;169457;252405;217143;24581;5325;8990;434415;3201;286;24783;453636;167937;26735;272164;263971;21348;8141;134421;17443;143634;213723;183315;20798;4578;7811;368420;2726;240;20736;35688;13282;2109;21113;20555;1559;558;10760;1427;11926;16657;14350;1653;430;473;32565;251;14;1859;6663;2467;369;4134;3886;322;126;2002;245;2107;3207;2694;266;66;5079;41;307;16040;6381;1028;9313;9115;704;220;4818;617;5377;7363;6127;861;188;253;16679;119;829;174750;70369;10424;100433;101431;5633;1916;56796;8481;69126;82482;72142;9601;3645;42;263901;1487;0;12171;8248;2999;469;4999;4740;394;150;2448;302;2537;3909;3334;329;79;111;5783;45;5;388;895;329;54;533;530;46;16;257;37;268;425;366;44;727;5;42;37751;13769;2166;22895;22162;1737;654;11399;1542;12051;17877;15624;1621;413;551;31449;212;18;1770
126;383250;154246;34752;249014;218284;25623;6891;131333;9391;158705;178627;227273;17971;191;2733;0;7127;0;1079;133958;53956;12058;86801;75866;8891;2356;45742;3239;55546;62417;79153;6273;63;941;0;2511;0;384;32700;13275;2926;21183;18691;2204;533;11228;779;13699;15192;19525;1521;10;242;0;610;0;80;258190;103690;23400;167331;146902;17180;4658;88407;6353;106632;120201;152833;12093;133;1856;0;4802;0;723;219716;88634;19809;142598;124750;14581;3687;75536;5407;91477;102483;130649;10296;86;1608;0;4106;0;588;21681;8875;1954;14086;12419;1431;385;7549;530;9051;10127;12910;1015;8;157;0;407;0;56;12381;4882;1161;8080;7313;803;231;4231;318;5150;5795;7450;564;8;100;0;249;0;27;127087;51313;11487;82398;71964;8381;2259;43365;3122;52452;59138;74956;6057;63;864;0;2334;0;381;12509;4986;1146;8122;7093;820;232;4253;300;5116;5819;7362;589;7;84;0;227;0;38;138259;55985;12404;89649;78023;9255;2308;47553;3359;57291;64379;81801;6550;56;974;0;2518;0;399;175277;70499;15916;113715;99517;11689;3093;60042;4281;72577;81406;103817;8218;83;1248;0;3247;0;491;219487;88637;19745;142457;124351;14630;3770;75494;5388;91089;102223;129795;10332;98;1565;0;4066;0;621;17069;6887;1559;11067;9704;1145;316;5743;411;7010;7942;10068;780;10;119;0;316;0;52;685;266;67;446;414;46;14;232;18;283;321;412;30;0;0;14;1;2523;1033;220;1618;1392;167;32;906;66;1060;1176;1495;121;0;15;0;44;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8641;3411;776;5620;4894;565;147;2976;223;3584;4025;5114;404;4;64;0;153;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2425;932;228;1593;1412;160;61;799;62;957;1125;1419;108;3;18;0;46;0;6
130;87990;23723;3064;49623;42491;2608;3256;20137;829;16505;41753;21948;2861;0;0;0;400;0;1797;35917;10011;1211;20840;17154;1130;1481;8527;377;6887;17153;9083;1226;0;0;0;214;0;642;2396;635;78;1296;1124;76;71;517;19;441;1145;585;81;0;0;0;10;0;50;48657;12388;1746;27261;24068;1316;1635;10881;407;9012;23061;11967;1536;0;0;0;139;0;1041;32689;8264;1203;17818;15931;865;1065;7105;254;5909;15394;7979;976;0;0;0;83;0;754;5372;1568;171;3130;2536;171;234;1289;55;1036;2573;1376;184;0;0;0;46;0;90;4304;1075;163;2577;2157;108;153;1032;47;824;2061;1075;155;0;0;0;4;0;85;21443;5531;770;12285;10616;592;750;4851;195;4000;10257;5340;697;0;0;0;72;0;440;1691;475;59;997;820;59;61;399;15;336;815;425;57;0;0;0;9;0;29;18775;5041;651;10644;9127;560;688;4316;168;3486;8955;4668;617;0;0;0;86;0;375;41407;10963;1429;23271;20048;1189;1503;9345;373;7677;19503;10268;1328;0;0;0;171;0;851;22572;5969;793;12837;10995;638;833;5154;211;4236;10720;5565;730;0;0;0;96;0;459;3019;762;101;1740;1530;82;97;689;27;559;1444;754;91;0;0;0;12;0;61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1700;496;55;1031;812;49;86;423;21;334;819;434;58;0;0;0;10;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;303;68;15;129;141;5;5;55;1;45;139;71;9;0;0;0;0;0;10
136;1070916;323202;46750;802609;700191;66272;23891;300296;38356;393048;460746;599172;62816;5096;6073;0;8299;70;23002;301926;90951;13141;226185;197254;18683;6753;84564;10800;110511;129787;168876;17693;1442;1713;0;2337;18;6492;65978;19738;2926;50068;43743;4221;1452;18843;2475;24352;28766;37627;3784;289;403;0;546;3;1257;793151;239245;33862;593505;515423;48914;17739;220040;28351;291006;339947;441203;46998;3724;4458;0;5920;24;17145;744777;224195;32256;560407;486591;46363;16553;208488;26712;273497;321231;416842;43655;3460;4330;0;5720;35;15714;78664;23590;3402;58996;51350;4851;1738;21958;2825;28869;33956;43987;4565;345;454;0;614;5;1642;18565;5630;781;13871;12070;1133;406;5165;638;6787;7959;10279;1082;89;101;0;127;0;401;333616;100327;14498;251930;218883;20909;7392;93528;12034;122743;144119;187198;19550;1569;1938;0;2573;15;7000;48020;14393;2068;35959;31521;3016;1073;13513;1711;17458;20732;26994;2751;191;296;0;367;0;925;407760;123058;17767;305224;266392;25284;9076;114108;14815;149331;175399;228435;23878;1904;2365;0;3189;18;8588;476214;143493;20514;357653;310449;29404;10601;133001;17028;174681;204480;265533;27995;2247;2718;0;3619;27;10253;659868;198344;28593;496197;431978;41153;14661;185182;23746;241985;284867;369370;38509;2957;3870;0;5115;35;13801;61624;18602;2761;45652;40240;3850;1383;17255;2264;22617;26405;34591;3570;295;349;0;514;5;1319;5152;1547;250;3906;3449;348;114;1462;222;1925;2233;3063;300;21;0;52;89;7103;2130;290;5352;4553;437;160;1959;235;2558;3042;3870;416;28;36;0;49;156;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20981;6203;994;15880;14020;1366;453;6087;813;7751;9181;12085;1186;88;131;0;190;2;392;1394;409;74;1066;952;94;29;418;59;529;613;825;80;0;18;30;29702;8880;1515;22095;19818;1922;643;8588;1199;11104;12787;17159;1741;163;168;0;328;6;630
145;31125;7849;2616;26023;25272;1097;1216;11588;981;13085;17521;19196;1199;0;0;7860;224;74;2063;10151;2556;876;8503;8247;355;410;3843;328;4344;5714;6275;391;0;0;2376;68;29;629;4384;1140;378;3705;3550;159;175;1677;144;1911;2485;2723;178;0;0;919;28;12;268;25477;6329;2063;21115;20988;833;919;9206;769;10365;14360;15793;946;0;0;6413;189;45;1735;21228;5145;1658;17328;17205;675;745;7441;591;8175;11921;12909;777;0;0;5565;171;31;1504;2153;581;205;1845;1743;78;94;856;77;1005;1227;1349;88;0;0;454;12;7;121;2534;670;245;2171;2045;101;105;1046;96;1201;1441;1566;103;0;0;544;14;11;136;14662;3717;1263;12424;12089;509;529;5460;468;6359;8370;9164;580;0;0;3375;101;32;917;1269;320;108;1085;1083;40;39;477;36;550;727;812;52;0;0;297;9;3;82;14915;3720;1225;12707;12657;451;479;5401;458;6216;8514;9534;560;0;0;3466;108;26;972;16479;4078;1323;13656;13375;541;599;5910;497;6718;9180;10156;625;0;0;4176;125;29;1122;17054;4165;1337;14077;14061;536;609;6061;493;6706;9564;10440;622;0;0;4443;133;30;1188;1551;401;130;1320;1269;55;62;575;47;672;871;973;55;0;0;353;10;3;91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2890;720;285;2445;2433;105;101;1140;90;1350;1672;1792;120;0;0;903;15;15;150;26;4;0;17;15;1;1;4;0;4;11;12;1;0;0;28;0;0;6;176;43;16;161;155;6;4;73;6;86;107;115;8;28;1;10;1437;379;124;1149;1100;61;74;553;44;596;782;842;63;0;0;452;8;4;91
153;412686;128366;13566;319484;326431;29082;12780;121632;12539;154020;176259;212401;15645;2182;0;8486;4582;0;2340;156151;48828;5048;121239;122996;10991;4898;46393;4748;58448;66836;80934;5996;793;0;3073;1608;0;919;13704;4342;435;10640;10705;983;416;4083;421;5181;5878;7059;540;72;0;259;158;0;87;320452;99113;10480;247456;253969;22499;10000;94440;9821;118948;136984;164027;12109;1712;0;6708;3553;0;1663;281690;86401;9365;217007;223446;19744;8653;82440;8664;104322;120338;143665;10702;1551;0;6202;3371;0;1491;30912;9667;997;23965;24410;2145;946;9149;932;11501;13178;15861;1171;163;0;630;342;0;168;13581;4179;454;10416;10748;968;406;3965;416;5059;5841;6929;524;70;0;301;149;0;80;139251;43438;4527;107608;109563;9793;4358;41041;4246;51955;59555;72028;5318;708;0;2800;1466;0;801;13822;4329;449;10595;10737;982;425;4077;406;5205;5895;7105;540;68;0;268;151;0;87;174129;54545;5649;135196;137187;12325;5410;51652;5264;64980;74486;89716;6598;902;0;3407;1825;0;952;182796;56799;5972;141096;143917;12892;5614;53810;5560;68109;77815;93755;6946;950;0;3758;2018;0;1014;240281;74940;7881;186565;189497;17007;7513;70898;7337;90062;102955;123753;9049;1237;0;4778;2527;0;1340;24351;7776;780;18867;18734;1733;752;7310;736;9286;10434;12863;946;112;0;412;236;0;163;545;146;18;400;456;35;17;153;19;181;235;257;20;3;20;10;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1513;370;71;1036;1157;96;18;357;51;564;587;700;72;13;0;55;55;0;11;1781;583;52;1375;1312;120;54;543;52;702;747;959;72;11;0;22;21;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6750;2211;213;5377;5199;492;210;2069;203;2658;2936;3640;277;27;0;99;49;0;45
